接收时间	指令	位置	频道	响应摘要	虚拟时间
11:42:26	--	--	--	404 未知接口或请求路径不精确	0.000 s
11:42:32	进入	--	--	进入成功	0.000 s
11:42:32	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
11:42:32	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
11:42:32	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
11:42:32	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
11:42:32	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
11:42:32	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
11:42:32	测量	(0.00, 0.00)	7	示向度 222.71°	41.000 s
11:42:32	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
11:42:32	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
11:42:33	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
11:42:33	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
11:42:33	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
11:42:33	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
11:42:33	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
11:42:33	测量	(0.00, 0.00)	15	示向度 245.01°	89.000 s
11:42:33	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
11:42:33	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
11:42:33	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
11:42:33	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
11:42:33	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
11:42:33	测量	(1010.00, 0.00)	1	未检测到信号	327.000 s
11:42:33	测量	(1010.00, 0.00)	2	未检测到信号	333.000 s
11:42:33	测量	(1010.00, 0.00)	3	未检测到信号	339.000 s
11:42:33	测量	(1010.00, 0.00)	4	未检测到信号	345.000 s
11:42:33	测量	(1010.00, 0.00)	5	未检测到信号	351.000 s
11:42:33	测量	(1010.00, 0.00)	6	未检测到信号	357.000 s
11:42:33	测量	(1010.00, 0.00)	8	未检测到信号	363.000 s
11:42:33	测量	(1010.00, 0.00)	9	未检测到信号	369.000 s
11:42:33	测量	(1010.00, 0.00)	10	未检测到信号	375.000 s
11:42:33	测量	(1010.00, 0.00)	11	未检测到信号	381.000 s
11:42:33	测量	(1010.00, 0.00)	12	未检测到信号	387.000 s
11:42:33	测量	(1010.00, 0.00)	13	未检测到信号	393.000 s
11:42:33	测量	(1010.00, 0.00)	14	未检测到信号	399.000 s
11:42:33	测量	(1010.00, 0.00)	16	示向度 290.59°	405.000 s
11:42:33	测量	(1010.00, 0.00)	17	未检测到信号	411.000 s
11:42:33	测量	(1010.00, 0.00)	18	示向度 88.18°	417.000 s
11:42:33	测量	(1010.00, 0.00)	19	示向度 45.91°	423.000 s
11:42:33	测量	(1010.00, 0.00)	20	未检测到信号	429.000 s
11:42:33	测量	(714.18, 714.18)	1	未检测到信号	589.604 s
11:42:33	测量	(714.18, 714.18)	2	未检测到信号	595.604 s
11:42:33	测量	(714.18, 714.18)	3	未检测到信号	601.604 s
11:42:33	测量	(714.18, 714.18)	4	未检测到信号	607.604 s
11:42:33	测量	(714.18, 714.18)	5	未检测到信号	613.604 s
